puerto,latitud,longitud,desembarques,percentage_catch
Almanza,-54.869566,-67.561918,,
Bahía Blanca,-38.789246,-62.272499,1323.665,0.1805654566951539
Caleta Cordova,-45.748762,-67.377537,,
Caleta Olivia / Paula,-46.436049,-67.514904,,
Camarones,-44.798941,-65.709705,5840.974,0.7967863000491212
Comodoro Rivadavia,-45.862528,-67.46664,16616.688,2.266736566639507
General Lavalle,-36.398453,-56.946467,8897.209,1.21369727717907
Mar del Plata,-38.04915,-57.536848,381331.055,52.018612034102176
Necochea / Quequén,-38.576184,-58.701949,1542.776,0.2104551023244724
Puerto Deseado,-47.753106,-65.911745,61608.607,8.404230873602653
Puerto Madryn,-42.723398,-65.03362,124205.893,16.943330671865176
Punta Colorada,-41.697354,-65.027413,,
Punta Quilla,-50.116093,-68.413519,,
Rawson,-43.336741,-65.061964,94060.596,12.831112459541021
Rosales,-38.89977,-62.079012,291.099,0.03970976333022525
Río Salado,-35.745949,-57.380561,435.289,0.059379191169500474
San Antonio Este,-40.79875,-64.883536,3013.277,0.4110509363426572
San Antonio Oeste,-40.725698,-64.934194,3724.774,0.5081085610001286
San Clemente del Tuyú,-36.342328,-56.746143,1275.621,0.1740116180717394
San Julián,-49.300594,-67.721019,160.641,0.021913562365829885
Ushuaia,-54.808106,-68.304301,28738.406,3.9202996257215768
